
========================================================================================================
E1 -- THE IDENTITY THAT COLLAPSES MY OWN PRE-REGISTRATION'S FOUR CHANNELS INTO ONE NUMBER
========================================================================================================
DERIVATION (no state needed).  On the physical sector the environment algebra A_env is EXACTLY
the COMMUTANT of A_S: both label spaces have GF(2) dim 6 and 4 with W_env = W_S^perp -- checked
below.  Write the minimal central projections of Z(A_S) as P_k.  Then Z(A_S)' = (+)_k B(H_k),
A_S|_k = M_2 (x) I_{m_k}, A_env|_k = I_2 (x) M_{m_k}, and for a PURE global state |psi>:
     S(A_S)   = H({p_k}) + sum_k p_k E_k        E_k = entanglement of the free qubit in block k
     S(A_env) = H({p_k}) + sum_k p_k E_k        (the SAME number -- commutant)
     S(A_S v A_env) = H({p_k})                  (pure inside each block)
     I(A_S:A_env)   = H({p_k}) + 2 sum_k p_k E_k
     I(A_S:A_Sigma) = H(Z(A_S)) = H({p_k})      (A_Sigma == Z(A_S), a SUBALGEBRA of A_S)
  =>  Delta_surf = 2 sum_k p_k E_k = 2 ( H_FULL(A_S) - H_CENTRE(A_S) )   FOR EVERY PURE STATE.

effective label space dim = 10 (= 2^10 operators = 32^2 = all of B(H_phys))
dim W_S = 4 ; dim W_S^perp = 6 ; dim W_env = 6 ; W_env == W_S^perp : True
   (A_env is therefore the FULL COMMUTANT of A_S, not merely a commuting subalgebra --
    which is why the environment can hold no more about S than the surface plus the free qubit.)

MEASURED on 6 Haar states and 6 ground states.  If this is an identity the residual is machine zero,
and then Delta_surf carries NO information beyond H_FULL - H_CENTRE.  PRINT THE RESIDUAL.
  state          Delta_surf     2*(H_FULL-H_CENTRE)   residual      sum_k p_k E_k
  haar0          1.183041888    1.183041888           4.44e-16      0.591520944
  haar1          1.343598073    1.343598073           8.88e-16      0.671799037
  haar2          1.270199493    1.270199493           4.44e-16      0.635099747
  haar3          1.234754364    1.234754364           4.44e-16      0.617377182
  haar4          1.181546191    1.181546191           4.44e-16      0.590773096
  haar5          1.398626211    1.398626211           4.44e-16      0.699313105
  gs g2=0.05     0.000000000    0.000000000           8.88e-16      0.000000000
  gs g2=0.45     0.000307821    0.000307821           4.44e-16      0.000153910
  gs g2=0.60     0.000325127    0.000325127           0.00e+00      0.000162564
  gs g2=0.80     0.000031980    0.000031980           2.22e-16      0.000015990
  gs g2=1.30     0.000000093    0.000000093           6.43e-15      0.000000046
  gs g2=5.00     0.000000000    0.000000000           0.00e+00      0.000000000
MAX RESIDUAL OVER 12 STATES = 6.425e-15  ->  IDENTITY CONFIRMED.

>>> CORRECTION TO MY OWN BINDING PRE-REGISTRATION.  The pre-registration declared Delta_surf as
    the primary quantity and declared FOUR channels, implying four tests.  There are not four.
    Delta_surf(FULL) = Delta_surf(BLOCK) exactly, Delta_surf(CENTRE) = 0 exactly, and
    Delta_surf(MAG) = half of Delta_surf(FULL) in every row of run_arms.py.  ONE NUMBER:
        C := sum_k p_k E_k = the CONDITIONAL FREE ENTROPY of the region given its surface.
    H-SURFACE says C = 0.  It is NOT forced to be 0: Haar states give C ~ 0.7 bits (below).

========================================================================================================
E2 -- THE EIGENSTATE LADDER.  ISOLATED VARIABLE: THE EIGENVALUE INDEX n.  NOTHING ELSE MOVES.
========================================================================================================
Same H, same sector, same Sigma, same algebra, same partition, same coupling.  Only n moves.
This separates GROUND-STATE SELECTION from every other property of the dynamics, which the
Haar arm cannot do (a Haar state also changes the energy, the sector statistics and the norm).
C = sum_k p_k E_k in bits.  H-SURFACE predicts C = 0.  Ceiling for this region is 1 bit.

g2 = 0.45  (inside the measured live window [0.4198, 0.8234])
   n    E_n            gap to n-1    H_FULL     H_CENTRE   C=sum p_k E_k   Delta_surf
   12   -1.20048775    0.39179723    2.504621   1.912604   0.592016948     1.184033895
   13   -0.85372291    0.34676484    1.737348   1.737348   0.000000000     0.000000000
   14   -0.46666667    0.38705624    2.342140   1.935229   0.406910640     0.813821281
   15   -0.46666667    0.00000000    2.193777   1.813153   0.380623811     0.761247622
   16   0.22129103     0.68795769    2.270353   1.821650   0.448703686     0.897407372
   17   0.94402933     0.72273831    2.713533   1.949389   0.764143672     1.528287343
   18   1.57513838     0.63110904    2.632546   1.913836   0.718710661     1.437421322
   19   1.57513838     0.00000000    2.647861   1.927499   0.720361123     1.440722246
   20   1.59189203     0.01675365    2.581455   1.871509   0.709945938     1.419891876
   21   2.49636936     0.90447733    2.666260   1.874363   0.791897598     1.583795196
   22   2.65349538     0.15712602    2.560017   1.820872   0.739145048     1.478290096
   23   2.86666667     0.21317129    2.228627   1.974509   0.254118465     0.508236931
   24   2.86666667     0.00000000    1.856551   1.645650   0.210900994     0.421801989
   25   3.25372291     0.38705624    1.737348   1.737348   0.000000000     0.000000000
   26   4.27844283     1.02471992    2.282697   1.856774   0.425923015     0.851846030
   27   4.99412640     0.71568358    2.530456   1.852581   0.677875503     1.355751006
   28   6.12322440     1.12909799    2.213800   1.800621   0.413179192     0.826358384
   29   6.12322440     0.00000000    2.226358   1.810585   0.415773616     0.831547232
   30   6.20319344     0.07996904    1.854807   1.718399   0.136407906     0.272815813
   31   9.01754405     2.81435061    1.864640   1.864081   0.000559275     0.001118549
   >>> C(n=0) = 0.000162564   ;  mean C over n>=1 = 0.458036647  ;  min C over n>=1 = 0.000000000  ;  max C = 0.888757990
   >>> RATIO mean(C, n>=1) / C(n=0) = 2817.6

g2 = 0.80  (inside the measured live window [0.4198, 0.8234])
   n    E_n            gap to n-1    H_FULL     H_CENTRE   C=sum p_k E_k   Delta_surf
   0    -11.03350495   nan           0.491388   0.491372   0.000015990     0.000031980
   1    -6.43243500    4.60106994    1.933416   1.386548   0.546867851     1.093735703
   2    -6.37378760    0.05864740    1.829902   1.257240   0.572661697     1.145323393
   3    -5.68401950    0.68976811    1.248250   0.837623   0.410627299     0.821254598
   4    -5.68401950    0.00000000    1.713608   1.233092   0.480515588     0.961031176
   5    -3.57033587    2.11368362    2.016395   1.759498   0.256896907     0.513793813
   6    -3.04723290    0.52310298    2.200170   1.659453   0.540716996     1.081433991
   7    -2.84511273    0.20212016    2.195974   1.722028   0.473945107     0.947890214
   8    -2.25917921    0.58593352    2.280043   1.886820   0.393223120     0.786446239
   9    -1.37307954    0.88609967    2.432176   1.875260   0.556915562     1.113831123
   10   -1.37307954    0.00000000    2.393952   1.845850   0.548102580     1.096205160
   11   -1.32594867    0.04713087    2.145718   1.703421   0.442296584     0.884593167
   12   -0.93986840    0.38608027    2.308786   1.971697   0.337088811     0.674177622
   13   -0.43039405    0.50947435    1.487694   1.487694   0.000000000     0.000000000
   14   0.09396805     0.52436210    1.909902   1.595474   0.314427440     0.628854879
   15   0.35000000     0.25603195    2.011855   1.757127   0.254728269     0.509456538
   16   0.35000000     0.00000000    2.067475   1.807630   0.259845367     0.519690733
   17   1.01566638     0.66566638    2.727103   1.915648   0.811454434     1.622908869
   18   1.52914317     0.51347679    2.476549   1.886471   0.590077852     1.180155704
   19   1.52914317     0.00000000    2.495518   1.904784   0.590734091     1.181468181
   20   1.63402460     0.10488144    2.571061   1.804627   0.766434877     1.532869754
   21   2.45771356     0.82368896    2.608890   1.822474   0.786416200     1.572832399
   22   2.52616707     0.06845351    2.613028   1.860732   0.752295689     1.504591378
   23   2.85000000     0.32383293    2.567856   1.903262   0.664593452     1.329186905
   24   2.85000000     0.00000000    2.453424   1.814229   0.639194996     1.278389991
   25   3.38561110     0.53561110    2.243906   1.641151   0.602755433     1.205510866
   26   3.63039405     0.24478295    1.487694   1.487694   0.000000000     0.000000000
   27   4.07358923     0.44319518    2.512586   1.791626   0.720959777     1.441919553
   28   5.52795587     1.45436664    1.982126   1.605093   0.377032441     0.754064881
   29   5.52795587     0.00000000    1.993525   1.613916   0.379609013     0.759218027
   30   5.55749436     0.02953849    1.694592   1.581553   0.113039757     0.226079515
   31   7.48317098     1.92567661    1.776889   1.774850   0.002038917     0.004077834
   >>> C(n=0) = 0.000015990   ;  mean C over n>=1 = 0.457596648  ;  min C over n>=1 = 0.000000000  ;  max C = 0.811454434
   >>> RATIO mean(C, n>=1) / C(n=0) = 28618.1

========================================================================================================
E2b -- THE SAME LADDER ACROSS ALL FIVE CHARGE SECTORS AT g2 = 0.60.  C(n=0) vs the rest.
========================================================================================================
  sector      C(n=0)         mean C (n>=1)   min C (n>=1)   ratio    rank of C(n=0) among 32
  vacuum      0.000162564    0.458036647     0.000000000    2817.6   2 of 32 (0 = smallest)
  eta{0,4}    0.001548260    0.449827357     0.000000000    290.5    3 of 32 (0 = smallest)
  eta{1,5}    0.000431894    0.553420358     0.002582906    1281.4   0 of 32 (0 = smallest)
  eta{4,5}    0.000181039    0.303222233     0.000000000    1674.9   8 of 32 (0 = smallest)
  eta{0,1}    0.000243048    0.253905903     0.000000000    1044.7   8 of 32 (0 = smallest)

========================================================================================================
E3 -- THE PERTURBATION CURVE.  |psi(e)> ~ (1-e)|gs> + e|haar>, g2 = 0.60, vacuum sector.
========================================================================================================
How special is the ground state?  If C rises linearly from 0 the null is a knife edge; if it
stays flat for a while the ground-state manifold has a genuine neighbourhood.
   e        |<gs|psi>|^2   H_FULL     C=sum p_k E_k   Delta_surf
   0.000    1.000000000    1.077757   0.000162564     0.000325127
   0.001    0.999999022    1.077523   0.000167780     0.000335560
   0.003    0.999991163    1.077094   0.000213169     0.000426337
   0.010    0.999900295    1.075969   0.000700466     0.001400933
   0.030    0.999062365    1.075576   0.004466215     0.008932431
   0.100    0.987851627    1.104347   0.040793255     0.081586510
   0.300    0.837481525    1.482917   0.322705429     0.645410857
   0.500    0.461198104    2.193652   0.712006997     1.424013994
   1.000    0.024566020    2.658775   0.834135644     1.668271289

========================================================================================================
E4 -- ARM 1 OF THE COMMISSION: REMOVE EM.  TWO REMOVALS, BOTH RUN.
========================================================================================================
(a) X1a  SAME H, NO GAUSS PROJECTION.  4096-dim unconstrained space.  The algebra A_S is the
    SAME 16 strings and is STRUCTURALLY IDENTICAL (dim 16, centre dim 4) -- what is destroyed is
    the OPERATOR IDENTITY Z(A_S) = alg{X_0,X_4,X_5}.  The CENTRE channel therefore survives as an
    ALGEBRA but STOPS BEING THE SURFACE, and it is stamped accordingly and never scored.
(b) X1b  NO GAUSS AND NO PLAQUETTES: H = -g2 sum_l X_l on L bare qubits.  Verbatim the text.

STRUCTURE DIFF (this is the whole point of the arm):
  channel    WITH Gauss (32-dim sector)   WITHOUT Gauss (4096-dim)    
  FULL       dim=16   r=2 s=1 max=3           dim=16   r=2 s=1 max=3
  CENTRE     dim=4    r=2 s=0 max=2           dim=4    r=2 s=0 max=2
  BLOCK      dim=4    r=0 s=1 max=1           dim=4    r=0 s=1 max=1
  MAG        dim=2    r=1 s=0 max=1           dim=2    r=1 s=0 max=1
  SIGMA      dim=4    r=2 s=0 max=2           dim=8    r=3 s=0 max=3
  >>> A_Sigma: dim 4 WITH the Gauss law, dim 8 WITHOUT.  With it, A_Sigma == Z(A_S) EXACTLY.
      Without it, A_Sigma is a 3-qubit electric algebra that shares NO operator with A_S.
      I(A_S : A_Sigma) is still perfectly well defined -- so this is NOT a category error -- but
      the quantity it measures is a different quantity.  BOTH numbers are printed below.

  g2      chan     H(A_S)     I(A_S:A_Sigma)   note
  0.2     FULL     1.992819   1.992819         
  0.2     CENTRE*  1.992819   1.992819         CENTRE IS NO LONGER THE SURFACE -- NOT SCORED
  0.2     BLOCK    0.006945   0.006945         
  0.2     MAG      0.008510   0.000474         
     [with Gauss] FULL H=1.992819 I(A_S:A_Sigma)=1.992819   CENTRE H=1.992819   C=0.000000582
     [overlap] || P_vac psi_free || = 1.000000000

  0.6455  FULL     0.901496   0.901387         
  0.6455  CENTRE*  0.901387   0.901387         CENTRE IS NO LONGER THE SURFACE -- NOT SCORED
  0.6455  BLOCK    0.171352   0.171242         
  0.6455  MAG      0.627705   0.006285         
     [with Gauss] FULL H=0.901496 I(A_S:A_Sigma)=0.901387   CENTRE H=0.901387   C=0.000109656
     [overlap] || P_vac psi_free || = 1.000000000

  3       FULL     0.005724   0.005724         
  3       CENTRE*  0.005724   0.005724         CENTRE IS NO LONGER THE SURFACE -- NOT SCORED
  3       BLOCK    0.001281   0.001281         
  3       MAG      0.999011   0.000000         
     [with Gauss] FULL H=0.005724 I(A_S:A_Sigma)=0.005724   CENTRE H=0.005724   C=0.000000000
     [overlap] || P_vac psi_free || = 1.000000000

(b) X1b -- NO GAUSS, NO PLAQUETTES.  H = -g2 sum_l X_l.  The ground state is EXACTLY |+>^{x12}.
   ||psi_lanczos - |+>^{x12}|| = 8.719e-16   E0 = -12.000000000  (exact -12 g2 = -12.000000000)
   H(FULL    ) = 0.000000000 bits
   H(CENTRE* ) = 0.000000000 bits
   H(BLOCK   ) = 0.000000000 bits
   H(MAG     ) = 1.000000000 bits
   H(SIGMA   ) = 0.000000000 bits
   I(A_S : A_Sigma) = 0.000000000 bits
   >>> L BARE QUBITS IN A PRODUCT STATE.  EVERY CHANNEL IS EXACTLY ZERO.  There is no record,
       and nothing about a surface can be asked, because nothing on S is correlated with anything.

========================================================================================================
E5 -- ARM S1: A REGION WITH A LARGER FREE PART.  A' = {0,1,2,3},  S' = {1,2,3,4,5},  Sigma' = {0,6}
========================================================================================================
This is the NEXT STEP the pre-registration named for itself, executed at zero extra cost.
A' is CROSS-ORBIT from A = {0,1,2} by cardinality (4 vertices vs 3), so the Aut rule is satisfied.
S' is vertex-induced: E[{0,1,2,3}] = [(0, 1), (0, 2), (1, 2), (1, 3), (2, 3)]  -> links [1, 2, 3, 4, 5]
Sigma' = delta({0,1,2,3}) = links [0, 6]  (|Sigma'| = 2 -- the carrier's UNIQUE minimum cut and its bottleneck)

  algebra    n   dim   r   s   max entropy   FREE PART (= s, in bits)
  A_S'       5   32    1   2   3             2
  Z(A_S')    1   2     1   0   1             0
  A_Sigma'   1   2     1   0   1             0
  A_env'     5   32    1   2   3             2
  PRIMARY REGION FOR COMPARISON:  A_S n=4 dim=16 r=2 s=1 max=3  FREE PART = 1 bit
  >>> THE FREE PART IS 2 BITS HERE vs 1 BIT ON THE PRIMARY REGION.
  >>> A_Sigma' == Z(A_S') as an algebra?  True   (on the primary region this was TRUE)
      D_forced(S', Sigma') = 3 ;  D_forced(S', env') = 3

  g2      H_FULL(S')  H_CENTRE(S')  C' = sum p_k E_k   Delta_surf'   I(A_S':A_Sigma')  I(A_S':A_env')
  0.05    0.999982    0.999982      0.000000000        0.000000000   0.999982          0.999982
  0.1     0.999700    0.999700      0.000000005        0.000000011   0.999700          0.999700
  0.2     0.994592    0.994591      0.000001142        0.000002284   0.994591          0.994593
  0.3     0.967054    0.967029      0.000024876        0.000049753   0.967029          0.967079
  0.45    0.782292    0.781974      0.000317715        0.000635430   0.781974          0.782610
  0.6     0.412268    0.411923      0.000344015        0.000688030   0.411923          0.412612
  0.8     0.145114    0.145080      0.000033212        0.000066424   0.145080          0.145147
  1       0.064097    0.064094      0.000002322        0.000004643   0.064094          0.064099
  1.3     0.025247    0.025247      0.000000091        0.000000181   0.025247          0.025247
  1.7     0.009792    0.009792      0.000000004        0.000000007   0.009792          0.009792
  2.2     0.003914    0.003914      0.000000000        0.000000000   0.003914          0.003914
  3       0.001283    0.001283      0.000000000        0.000000000   0.001283          0.001283
  5       0.000199    0.000199      0.000000000        0.000000000   0.000199          0.000199

  HAAR CONTROL ON THE SAME REGION (the pre-committed discriminator, applied to S'):
  haar0   2.274123    0.996079      1.278044646        2.556089292   0.996079          3.552168
  haar1   2.311584    0.978103      1.333480948        2.666961895   0.978103          3.645065
  haar2   2.534979    0.999990      1.534988230        3.069976461   0.999990          4.069967
  haar3   2.330239    0.986006      1.344232737        2.688465474   0.986006          3.674472

  FORMATION ARMS REPEATED ON S' (same surface Sigma'={0,6}, flux' = eta_0 eta_1 eta_2 eta_3):
  sector      flux'   max|dH_FULL(S')| over grid   max|dC'| over grid   max|dDelta_surf'|
  eta{0,4}    -1      0.99980109                   0.00750192           0.01507026
  eta{1,5}    -1      0.99980108                   0.00099167           0.00204977
  eta{4,5}    +1      0.12722545                   0.00008724           0.00077231
  eta{0,1}    +1      0.12722545                   0.00008724           0.00077231
