(Ensemble 1),(Ensemble 2),(Ensemble 3),(Ensemble 4),(Ensemble 5)
0.338,0.675,0.3884,0.7814,0.9295
0.8623,0.7672,0.4999,0.913,0.8202
0.9316,0.2082,0.4757,0.1215,0.0455
0.0542,0.828,0.8948,0.2136,0.0671
0.9326,0.9285,0.9101,0.7441,0.8927
0.8183,0.8808,0.3159,0.2745,0.0917
0.7224,0.1043,0.7256,0.6285,0.3755
0.051,0.9072,0.8981,0.7295,0.4668
0.9228,0.7606,0.9275,0.6223,0.8669
0.5417,0.8219,0.9286,0.4217,0.1704
0.6313,0.8759,0.9267,0.8777,0.6738
0.7068,0.8798,0.877,0.8107,0.5764
0.7156,0.6619,0.1539,0.7901,0.5201
0.4395,0.3852,0.824,0.7342,0.4617
0.614,0.9389,0.8931,0.9268,0.7719
0.8827,0.6684,0.8289,0.0463,0.1247
0.4271,0.5377,0.422,0.5451,0.2827
0.3214,0.1718,0.5395,0.9149,0.7604
0.0505,0.8075,0.9151,0.9228,0.8518
0.9189,0.8583,0.1332,0.7446,0.8875
0.6979,0.0498,0.1629,0.2153,0.0738
0.136,0.0455,0.1201,0.3861,0.6555
0.1133,0.35,0.1355,0.4593,0.6984
0.6062,0.3571,0.0843,0.0576,0.1667
0.5763,0.0833,0.8943,0.0577,0.1518
0.2113,0.9097,0.5478,0.297,0.5398
0.8114,0.2296,0.8754,0.8331,0.9259
0.0945,0.6418,0.0688,0.9096,0.7832
0.4655,0.2279,0.8292,0.0949,0.2867
0.3522,0.5986,0.6734,0.9257,0.8142
0.157,0.3701,0.065,0.8875,0.9169
0.3628,0.1782,0.1586,0.152,0.3829
0.1139,0.0547,0.7408,0.4527,0.7092
0.1882,0.4365,0.8711,0.9082,0.8988
0.3781,0.6047,0.9214,0.9202,0.7692
0.7285,0.8829,0.1183,0.7332,0.4657
0.5796,0.3399,0.7567,0.0617,0.18
0.9073,0.9077,0.8377,0.4562,0.2047
0.8942,0.9325,0.0844,0.4789,0.2351
0.8717,0.9306,0.8447,0.5536,0.2846
0.4916,0.2749,0.926,0.0844,0.2377
0.8411,0.9237,0.0598,0.5805,0.3235
0.6578,0.8528,0.2712,0.7956,0.5611
0.2808,0.1057,0.3919,0.244,0.4544
0.0617,0.074,0.919,0.5576,0.8068
0.0607,0.1205,0.7503,0.6917,0.8613
0.6894,0.8671,0.9243,0.7553,0.5145
0.2176,0.4621,0.3211,0.9033,0.9046
0.6736,0.8376,0.4551,0.799,0.5466
0.0539,0.0814,0.5551,0.61,0.8192
0.0503,0.1837,0.4294,0.7612,0.9044
0.9169,0.8358,0.3044,0.2358,0.0818
0.8857,0.7101,0.2089,0.1329,0.0398
0.0473,0.0896,0.7971,0.6021,0.8242
0.076,0.0554,0.0749,0.5096,0.745
0.877,0.921,0.6736,0.5366,0.2423
0.2153,0.0842,0.3597,0.8734,0.9004
0.1653,0.3723,0.9221,0.1327,0.0577
0.8603,0.6731,0.8545,0.7689,0.5324
0.6523,0.8411,0.7108,0.611,0.3174
0.8181,0.9257,0.1303,0.2648,0.0886
0.898,0.8352,0.3375,0.3957,0.1717
0.8959,0.8978,0.8795,0.3515,0.6084
0.1492,0.0592,0.1078,0.1166,0.0699
0.8339,0.6623,0.077,0.6951,0.423
0.7557,0.8892,0.8939,0.0848,0.2249
0.494,0.2928,0.9132,0.1361,0.3503
0.4,0.1826,0.8166,0.7798,0.5188
0.6826,0.8494,0.0963,0.7398,0.4611
0.7202,0.8706,0.1628,0.9017,0.7796
0.367,0.5911,0.8486,0.0696,0.184
0.5772,0.3403,0.0642,0.0512,0.1092
0.6954,0.4609,0.384,0.624,0.3405
0.7983,0.907,0.1016,0.1203,0.3357
0.4179,0.2203,0.7285,0.1261,0.047
0.8666,0.6919,0.7463,0.0589,0.2055
0.559,0.3068,0.2423,0.8931,0.8663
0.2566,0.4679,0.7336,0.4287,0.1703
0.9082,0.8911,0.7379,0.0746,0.0922
0.768,0.5385,0.4774,0.9143,0.8831
0.2067,0.4338,0.156,0.9022,0.8682
0.2209,0.438,0.435,0.1702,0.0649
0.8928,0.7588,0.2535,0.4599,0.6996
0.0932,0.0525,0.9176,0.7309,0.8901
0.0687,0.1754,0.8715,0.5607,0.7711
0.0661,0.0684,0.8953,0.7877,0.5543
0.6341,0.8295,0.2091,0.6348,0.3685
0.7954,0.9074,0.2261,0.8287,0.6421
0.5441,0.7413,0.8707,0.5129,0.7436
0.0838,0.0544,0.8847,0.0691,0.0857
0.7047,0.5035,0.4425,0.8901,0.7607
0.3673,0.6251,0.556,0.6984,0.4417
0.7464,0.8716,0.7851,0.1659,0.0588
0.9045,0.7366,0.0999,0.8118,0.9141
0.08,0.2563,0.6546,0.4604,0.2272
0.8617,0.8997,0.2754,0.0646,0.1831
0.5559,0.3459,0.382,0.8686,0.897
0.148,0.3592,0.8192,0.0827,0.0749
0.758,0.5802,0.1281,0.1226,0.0579
0.8565,0.6702,0.2095,0.9072,0.773
0.373,0.6241,0.757,0.0547,0.1621
0.6254,0.4047,0.8025,0.9081,0.853
0.0786,0.0573,0.6415,0.5163,0.2407
0.2582,0.4702,0.1387,0.8561,0.9047
0.8566,0.9163,0.049,0.4158,0.6726
0.1211,0.0561,0.4352,0.1648,0.4225
0.1279,0.1265,0.9192,0.1704,0.0484
0.3163,0.7568,0.0789,0.8415,0.5747
0.8924,0.7929,0.8337,0.9111,0.79
0.5794,0.0789,0.8772,0.8542,0.6669
0.2121,0.5872,0.1116,0.3601,0.6229
0.3308,0.7175,0.6435,0.3196,0.095
0.4948,0.0486,0.912,0.868,0.7057
0.1532,0.858,0.414,0.1467,0.0522
0.9393,0.6971,0.0871,0.2702,0.5266
0.4771,0.706,0.8593,0.6015,0.3397
0.8678,0.0851,0.7677,0.899,0.8464
0.227,0.9207,0.0768,0.3015,0.5814
0.8113,0.5129,0.8265,0.9027,0.7993
0.2585,0.0709,0.7697,0.4601,0.2149
0.197,0.5285,0.7004,0.8939,0.8776
0.2876,0.9091,0.4605,0.7455,0.8903
0.8837,0.3995,0.8608,0.4115,0.1833
0.2191,0.1672,0.718,0.6745,0.8568
0.063,0.8883,0.3813,0.6153,0.3386
0.8137,0.9058,0.8522,0.8511,0.9114
0.9125,0.1345,0.6395,0.5739,0.8125
0.0362,0.9131,0.282,0.6867,0.8695
0.8114,0.0741,0.36,0.0985,0.0676
0.1469,0.1296,0.3234,0.0699,0.1079
0.0688,0.6377,0.1955,0.6247,0.8457
0.0583,0.4717,0.3165,0.0536,0.1416
0.8165,0.086,0.1729,0.7204,0.9056
0.7084,0.4016,0.457,0.0584,0.1301
0.0472,0.167,0.1419,0.6096,0.8234
0.6658,0.4149,0.3185,0.809,0.5791
0.0562,0.095,0.9181,0.6067,0.3681
0.6447,0.7984,0.8593,0.6958,0.4759
0.0729,0.8805,0.7431,0.8339,0.5904
0.5956,0.9139,0.8829,0.0577,0.0875
0.8012,0.8715,0.8945,0.0553,0.1118
0.8994,0.7782,0.202,0.051,0.1304
0.7223,0.4691,0.1538,0.3463,0.154
0.5981,0.4543,0.1763,0.9059,0.871
0.7319,0.4376,0.7872,0.9078,0.8534
0.6938,0.8925,0.7746,0.8566,0.6902
0.6735,0.4838,0.887,0.8619,0.9116
0.9209,0.5081,0.6466,0.117,0.0673
0.2536,0.6817,0.3307,0.0665,0.1936
0.2729,0.3204,0.1134,0.2172,0.4406
0.4878,0.6485,0.056,0.6082,0.8219
0.1298,0.3434,0.2825,0.2664,0.513
0.8474,0.1256,0.0654,0.9027,0.8106
0.5607,0.0843,0.8077,0.7841,0.5412
0.2827,0.1,0.9073,0.8968,0.8775
0.0581,0.5611,0.6974,0.0779,0.2462
0.226,0.8225,0.0884,0.222,0.0697
0.3062,0.4168,0.5036,0.8125,0.8965
0.6256,0.2733,0.5488,0.7588,0.9105
0.1888,0.7934,0.4622,0.638,0.3617
0.9025,0.2679,0.8649,0.1317,0.3546
0.0982,0.1862,0.0607,0.9074,0.7489
0.0608,0.9028,0.8625,0.8221,0.9142
0.7761,0.1836,0.5281,0.544,0.8132
0.3954,0.6439,0.2531,0.9196,0.8126
0.4148,0.2226,0.8266,0.7925,0.5455
0.1044,0.0668,0.9114,0.1442,0.3674
0.0602,0.5434,0.061,0.7785,0.9135
0.3283,0.8155,0.8855,0.0668,0.2436
0.6249,0.1616,0.4922,0.8798,0.6921
0.7198,0.8742,0.0826,0.1255,0.317
0.0767,0.2149,0.8931,0.8655,0.6413
0.5357,0.2759,0.0608,0.169,0.3884
0.4717,0.6875,0.8787,0.8047,0.5653
0.4495,0.2114,0.0576,0.052,0.0981
0.4914,0.7081,0.9046,0.6205,0.3429
0.5908,0.1425,0.2083,0.3008,0.0842
0.7321,0.7938,0.8369,0.883,0.7275
0.8344,0.485,0.8558,0.6644,0.8511
0.8149,0.9216,0.6052,0.885,0.7047
0.9433,0.9209,0.8822,0.4245,0.6927
0.41,0.8596,0.3528,0.8702,0.8983
0.0491,0.6349,0.8715,0.4146,0.1831
0.4439,0.0944,0.146,0.9061,0.8705
0.1266,0.66,0.6593,0.17,0.0605
0.1491,0.0524,0.7294,0.8973,0.8859
0.8962,0.382,0.7353,0.1461,0.3888
0.8798,0.924,0.4517,0.641,0.3688
0.3379,0.4501,0.7473,0.2372,0.0714
0.7738,0.7542,0.0505,0.579,0.3042
0.9159,0.4854,0.8725,0.9052,0.8782
0.796,0.1616,0.5194,0.8573,0.6647
0.2142,0.8964,0.8378,0.7413,0.4726
0.4916,0.8126,0.7207,0.1483,0.369
0.661,0.9085,0.8902,0.4061,0.6868
0.3968,0.4173,0.9182,0.0791,0.0681
0.1165,0.7014,0.0543,0.1029,0.305
0.7869,0.8566,0.1374,0.7121,0.4208
0.7042,0.186,0.2791,0.539,0.2837
0.8258,0.048,0.0633,0.0733,0.0882
0.7755,0.5908,0.8983,0.0597,0.0935
0.7786,0.2156,0.825,0.9158,0.8298
0.2956,0.8694,0.2517,0.4975,0.2219
0.8474,0.9152,0.2148,0.316,0.1087
0.9092,0.5374,0.7768,0.0651,0.0742
0.7967,0.5214,0.7863,0.0455,0.1519
0.648,0.9049,0.6376,0.0752,0.2344
0.5678,0.8455,0.2633,0.7392,0.5131
0.6805,0.5566,0.1157,0.1066,0.2933
0.4604,0.3947,0.0912,0.8565,0.9114
0.136,0.3181,0.9023,0.9054,0.7334
0.3958,0.8428,0.0797,0.7339,0.4712
0.6949,0.2365,0.6517,0.7314,0.4925
0.7043,0.3384,0.8621,0.2859,0.0896
0.9298,0.6497,0.9035,0.2666,0.1041
0.928,0.8522,0.9042,0.758,0.4876
0.6731,0.8398,0.6057,0.0678,0.205
0.5573,0.8533,0.5684,0.7185,0.4483
0.704,0.846,0.9113,0.7854,0.8951
0.0825,0.8571,0.0981,0.7199,0.8856
0.0627,0.3406,0.8964,0.2214,0.4513
0.3118,0.861,0.4907,0.0698,0.1504
0.6832,0.2008,0.3971,0.6233,0.8443
0.0515,0.1471,0.0581,0.4041,0.6613
0.125,0.13,0.1593,0.8459,0.9021
0.1081,0.4274,0.3164,0.5434,0.282
0.8508,0.0861,0.1417,0.2088,0.0606
0.9206,0.0487,0.6025,0.1632,0.0494
0.8981,0.2828,0.8147,0.2886,0.0944
0.9291,0.9128,0.4883,0.9034,0.8775
0.2022,0.7966,0.4398,0.0575,0.1112
0.7548,0.7548,0.6218,0.5173,0.7652
0.0743,0.8592,0.7438,0.9186,0.8149
0.302,0.4393,0.2301,0.827,0.6284
0.5548,0.5143,0.214,0.8066,0.8931
0.0862,0.0764,0.8234,0.0585,0.0981
0.753,0.542,0.9085,0.1231,0.0392
0.8944,0.7994,0.5413,0.5559,0.8101
0.0627,0.2612,0.2274,0.4618,0.1914
0.8964,0.5126,0.4204,0.0533,0.1012
0.7832,0.7162,0.256,0.6966,0.4083
0.8559,0.0712,0.7513,0.5852,0.3116
0.9458,0.9001,0.2121,0.3676,0.1344
0.722,0.4559,0.9138,0.7616,0.488
0.0534,0.9093,0.8726,0.058,0.1178
0.3245,0.9333,0.7002,0.6275,0.814
0.3272,0.9,0.9331,0.9162,0.8161
0.6179,0.8808,0.1792,0.9332,0.8224
0.4147,0.3801,0.3123,0.8307,0.5902
0.1882,0.0957,0.8184,0.9397,0.8256
0.8594,0.5813,0.8171,0.1164,0.2794
0.5209,0.5691,0.9104,0.2732,0.4981
0.7074,0.7985,0.8446,0.5509,0.3036
0.3307,0.6015,0.0465,0.0699,0.1927
0.8538,0.2011,0.0763,0.0609,0.0973
0.2986,0.082,0.8347,0.187,0.3907
0.1658,0.9201,0.0919,0.1976,0.4235
0.0699,0.291,0.1817,0.3268,0.5445
0.3528,0.1408,0.0673,0.5617,0.7975
0.6963,0.9191,0.8706,0.1578,0.3654
0.1953,0.1196,0.0592,0.7593,0.5036
0.4468,0.0883,0.0942,0.8856,0.8649
0.5631,0.0763,0.2696,0.091,0.2315
0.0624,0.1684,0.0625,0.0574,0.1956
0.1805,0.8909,0.9156,0.7054,0.8738
0.8729,0.3882,0.6946,0.3241,0.5849
0.182,0.2456,0.0716,0.579,0.3147
0.9219,0.3359,0.0829,0.3294,0.5681
0.7988,0.1644,0.4238,0.4227,0.1626
0.1473,0.0654,0.1114,0.6707,0.3853
0.1426,0.9244,0.8407,0.3153,0.5905
0.8157,0.062,0.0814,0.3433,0.5919
0.4246,0.9173,0.6964,0.1053,0.0558
0.9171,0.9106,0.9021,0.9268,0.7962
0.3108,0.0703,0.1008,0.2676,0.0698
0.8141,0.0569,0.1123,0.1604,0.3612
0.9207,0.6139,0.3157,0.088,0.0494
0.4928,0.6543,0.8743,0.4543,0.2022
0.8344,0.8076,0.5556,0.1061,0.2465
0.9211,0.1386,0.0563,0.105,0.0532
0.0826,0.6246,0.3237,0.4349,0.1788
0.866,0.919,0.7534,0.5102,0.7629
0.5623,0.2607,0.0679,0.8779,0.661
0.3621,0.9244,0.374,0.1497,0.3501
0.9298,0.0616,0.7378,0.3585,0.1428
0.3292,0.9236,0.2496,0.9251,0.8211
0.8136,0.757,0.8651,0.0856,0.067
0.2007,0.1585,0.9198,0.2647,0.4993
0.0924,0.9018,0.0547,0.8392,0.9275
0.0754,0.5493,0.6709,0.4817,0.7505
0.3332,0.6222,0.805,0.9018,0.8173
0.801,0.0809,0.314,0.0875,0.0663
0.1149,0.2666,0.0805,0.8556,0.923
0.7731,0.0653,0.5795,0.0863,0.0648
0.0885,0.5893,0.2314,0.4544,0.6989
0.3464,0.5524,0.8365,0.9377,0.8138
0.8414,0.2877,0.2814,0.1045,0.0582
0.0494,0.5328,0.5858,0.6799,0.8633
0.19,0.0615,0.2505,0.8908,0.9045
0.8669,0.5704,0.1847,0.1199,0.0573
0.4684,0.6146,0.8274,0.1045,0.2738
0.8045,0.1185,0.3403,0.2107,0.3906
0.3513,0.7002,0.3558,0.8507,0.9214
0.1288,0.2488,0.7094,0.1361,0.3426
0.351,0.911,0.3774,0.749,0.8921
0.0568,0.1505,0.067,0.6801,0.8648
0.0374,0.3409,0.897,0.3787,0.1456
0.9282,0.1607,0.0482,0.1368,0.3285
0.3941,0.1343,0.6485,0.1202,0.0423
0.8396,0.1167,0.0658,0.8831,0.9075
0.1606,0.9026,0.7123,0.7923,0.9098
0.0775,0.1905,0.0647,0.0453,0.1181
0.6806,0.6423,0.3473,0.4042,0.1337
0.9491,0.3356,0.6569,0.9164,0.7799
0.061,0.457,0.5286,0.7621,0.9154
0.2503,0.9059,0.177,0.254,0.4723
0.1627,0.6549,0.6828,0.3631,0.6166
0.6391,0.1837,0.8502,0.054,0.1314
0.4829,0.0981,0.4856,0.1137,0.2846
0.8558,0.0609,0.076,0.1326,0.0532
0.9122,0.3808,0.1115,0.5085,0.2372
0.5728,0.2474,0.1353,0.0615,0.1794
0.066,0.6558,0.0765,0.6542,0.8464
0.0466,0.9403,0.3408,0.6788,0.8595
0.8202,0.3163,0.8046,0.6609,0.4304
0.379,0.1205,0.1235,0.9049,0.8304
0.1481,0.1046,0.333,0.8808,0.9109
0.4479,0.9195,0.3644,0.898,0.7474
0.6644,0.5359,0.8694,0.0617,0.1439
0.8464,0.3588,0.8218,0.5716,0.2748
0.1034,0.6974,0.6622,0.4695,0.6957
0.0524,0.4207,0.8973,0.6229,0.8256
0.9012,0.9311,0.1541,0.5151,0.2271
0.8927,0.056,0.8373,0.5363,0.2447
0.1864,0.1119,0.1805,0.3064,0.5487
0.5918,0.9397,0.2939,0.0636,0.1729
0.4987,0.9329,0.7919,0.8932,0.7285
0.9104,0.068,0.8094,0.4791,0.2136
0.0729,0.3744,0.1151,0.7061,0.8804
0.4724,0.7081,0.1234,0.0697,0.2589
0.7201,0.9186,0.899,0.0321,0.0954
0.7172,0.1472,0.7427,0.3179,0.1206
0.921,0.2869,0.3846,0.7339,0.4891
0.7536,0.5023,0.0748,0.5451,0.7843
0.0856,0.8759,0.2214,0.1448,0.386
0.3463,0.8874,0.9278,0.8853,0.9178
0.1377,0.9001,0.6281,0.871,0.9174
0.1214,0.089,0.9294,0.7902,0.9173
0.1723,0.1599,0.2378,0.1303,0.0534
0.0827,0.0555,0.0692,0.8377,0.659
0.8689,0.3259,0.149,0.8151,0.5803
0.5583,0.3439,0.6192,0.9089,0.9102
0.6154,0.1928,0.6432,0.0564,0.0936
0.6967,0.6994,0.4183,0.1847,0.376
0.3314,0.7703,0.9331,0.8102,0.5839
0.5939,0.8191,0.946,0.1228,0.0589
0.8705,0.4663,0.7187,0.0519,0.1508
0.6419,0.4426,0.2153,0.2395,0.0865
0.9229,0.1701,0.0302,0.802,0.9132
0.1034,0.8009,0.9081,0.1387,0.3609
0.4179,0.6919,0.3688,0.8865,0.8638
0.241,0.4254,0.1414,0.6462,0.4166
0.8041,0.8195,0.5651,0.2813,0.0851
0.9286,0.2803,0.5571,0.778,0.9124
0.0685,0.19,0.0674,0.8459,0.6172
0.6189,0.4735,0.7807,0.519,0.2517
0.8916,0.9156,0.8948,0.0557,0.1088
0.6922,0.8232,0.6005,0.1117,0.0369
0.8527,0.2395,0.497,0.3544,0.6273
0.1454,0.8042,0.9151,0.3906,0.6577
0.1084,0.93,0.8204,0.0856,0.0503
0.8448,0.4739,0.1709,0.8176,0.5695
0.6457,0.0611,0.3778,0.3409,0.6026
0.1518,0.0591,0.11,0.919,0.7299
0.4204,0.8111,0.1224,0.7535,0.9099
0.0634,0.0578,0.942,0.46,0.7028
0.094,0.6505,0.115,0.1287,0.3349
0.3779,0.1782,0.8742,0.0569,0.1377
0.657,0.0547,0.4672,0.7783,0.9121
0.0762,0.1858,0.1851,0.8131,0.6041
0.3877,0.4034,0.0641,0.9211,0.8035
0.0479,0.2168,0.1405,0.6879,0.8694
0.0908,0.8364,0.4766,0.8261,0.9077
0.3782,0.6183,0.9178,0.9221,0.8083
0.9273,0.1459,0.865,0.4244,0.1757
0.1742,0.2479,0.3972,0.9095,0.9203
0.9384,0.6293,0.5219,0.354,0.1469
0.9289,0.9035,0.852,0.2983,0.1019
0.9094,0.3874,0.7148,0.4804,0.2361
0.7889,0.895,0.6744,0.679,0.4079
0.2259,0.8627,0.6153,0.2804,0.5487
0.1968,0.926,0.7851,0.8937,0.8972
0.0758,0.9017,0.879,0.5211,0.7474
0.5591,0.0857,0.0708,0.8578,0.6451
0.6953,0.3956,0.6938,0.7879,0.5558
0.5571,0.0622,0.1978,0.0578,0.1581
0.9134,0.7851,0.932,0.1799,0.0573
0.6323,0.8368,0.9386,0.0659,0.1793
0.9311,0.3624,0.1081,0.3155,0.1213
0.0731,0.3906,0.4646,0.5693,0.767
0.8208,0.865,0.1416,0.0954,0.0615
0.1962,0.0749,0.6362,0.2827,0.5446
0.7597,0.6113,0.248,0.0636,0.0885
0.3227,0.0993,0.2942,0.9079,0.7713
0.3923,0.5239,0.1014,0.2847,0.5513
0.2011,0.1345,0.233,0.5302,0.751
0.0574,0.6254,0.0693,0.1162,0.2959
0.4136,0.0751,0.8745,0.921,0.7687
0.8262,0.0662,0.0992,0.5105,0.238
0.369,0.2077,0.2342,0.0597,0.1339
0.8918,0.9189,0.0861,0.6562,0.4324
0.6562,0.6009,0.8549,0.9338,0.7956
0.7699,0.9273,0.8659,0.5482,0.765
0.3507,0.4142,0.8016,0.2968,0.1077
0.062,0.8917,0.2024,0.7477,0.5108
0.9321,0.5637,0.9089,0.2196,0.4282
0.7153,0.0505,0.8378,0.3815,0.6654
0.2821,0.8552,0.9184,0.7511,0.9093
0.1348,0.856,0.0553,0.6054,0.8132
0.0751,0.1018,0.1073,0.1109,0.061
0.0607,0.0405,0.4245,0.6097,0.368
0.8585,0.1865,0.2845,0.8586,0.9395
0.8243,0.0994,0.3663,0.9171,0.8564
0.1232,0.6583,0.8788,0.4918,0.7307
0.2945,0.9421,0.5986,0.9071,0.9018
0.0715,0.289,0.7753,0.6647,0.8436
0.1995,0.5152,0.2096,0.8756,0.9174
0.0553,0.0541,0.6894,0.8251,0.9223
0.1517,0.4177,0.3683,0.2777,0.0739
0.1114,0.1241,0.6016,0.9128,0.7793
0.9332,0.3179,0.5776,0.1576,0.3755
0.457,0.2613,0.5612,0.0906,0.2339
0.3369,0.8154,0.9042,0.8713,0.9331
0.159,0.6557,0.0627,0.2722,0.0852
0.9073,0.157,0.0774,0.2449,0.491
0.2942,0.2909,0.6578,0.3923,0.1724
0.9107,0.8451,0.5859,0.5947,0.3102
0.8165,0.1064,0.0573,0.3583,0.1359
0.9078,0.9088,0.7105,0.1942,0.4382
0.3037,0.9125,0.8482,0.0783,0.0999
0.806,0.8899,0.6885,0.6911,0.8735
0.0568,0.1329,0.0606,0.4291,0.1942
0.892,0.5702,0.2632,0.3367,0.5683
0.2026,0.1263,0.408,0.6149,0.3244
0.7852,0.9045,0.7491,0.8856,0.7342
0.3248,0.0714,0.1045,0.1942,0.4224
0.2051,0.9092,0.8491,0.8977,0.8717
0.8757,0.687,0.869,0.1458,0.0522
0.4942,0.1372,0.0582,0.1163,0.2963
0.1525,0.4453,0.7565,0.8845,0.8992
0.7406,0.7031,0.4011,0.0648,0.0772
0.2594,0.2508,0.0519,0.9129,0.8363
0.191,0.3359,0.6557,0.8948,0.9073
0.489,0.4885,0.2166,0.8503,0.682
0.3771,0.7303,0.788,0.1659,0.3488
0.0386,0.1778,0.6694,0.6621,0.8713
0.5016,0.1191,0.893,0.8687,0.6756
0.8282,0.7138,0.0583,0.5884,0.2921
0.0957,0.9165,0.3423,0.4984,0.7297
0.6724,0.0485,0.8888,0.0629,0.1419
0.0821,0.4115,0.8398,0.5055,0.7553
0.9316,0.0645,0.209,0.2682,0.0934
0.8307,0.8474,0.1498,0.1298,0.3573
0.8582,0.2019,0.2127,0.93,0.8181
0.0657,0.5795,0.5936,0.0927,0.0626
0.1535,0.6517,0.0584,0.4963,0.2766
0.0518,0.9186,0.8121,0.6249,0.8364
0.4527,0.1125,0.325,0.8779,0.9072
0.2265,0.3325,0.3131,0.588,0.8062
0.3817,0.0832,0.6267,0.1193,0.2783
0.8364,0.2284,0.2741,0.257,0.522
0.1613,0.0976,0.0673,0.156,0.3592
0.7871,0.1811,0.0678,0.1192,0.0781
